FAAS SIMULATION SUMMARY
======================

Report generated: 2025-07-21 16:12:25

Topology Overview:
  Number of nodes: 368
  Number of functions: 15
  Number of images: 5

Node Distribution:
  nuc_47 → rockpi_39: 91.55 MB in 459.54 s
  nuc_47 → rockpi_4: 45.78 MB in 192.66 s
  nuc_47 → rockpi_40: 91.55 MB in 395.88 s
  nuc_47 → rockpi_42: 91.55 MB in 454.41 s
  nuc_47 → rockpi_43: 45.78 MB in 229.62 s
  nuc_47 → rockpi_46: 45.78 MB in 66.38 s
  nuc_47 → rockpi_47: 91.55 MB in 458.80 s
  nuc_47 → rockpi_48: 91.55 MB in 275.73 s
  nuc_47 → rockpi_49: 45.78 MB in 29.61 s
  nuc_47 → rockpi_5: 91.55 MB in 372.63 s
  nuc_47 → rockpi_51: 91.55 MB in 459.14 s
  nuc_47 → rockpi_52: 91.55 MB in 458.53 s
  nuc_47 → rockpi_53: 91.55 MB in 238.55 s
  nuc_47 → rockpi_54: 45.78 MB in 202.83 s
  nuc_47 → rockpi_55: 91.55 MB in 453.32 s
  nuc_47 → rockpi_56: 45.78 MB in 229.73 s
  nuc_47 → rockpi_57: 45.78 MB in 192.73 s
  nuc_47 → rockpi_58: 91.55 MB in 454.88 s
  nuc_47 → rockpi_59: 91.55 MB in 248.51 s
  nuc_47 → rockpi_60: 45.78 MB in 229.06 s
  nuc_47 → rockpi_61: 45.78 MB in 228.60 s
  nuc_47 → rockpi_62: 91.55 MB in 456.81 s
  nuc_47 → rockpi_63: 45.78 MB in 218.05 s
  nuc_47 → rockpi_64: 91.55 MB in 454.18 s
  nuc_47 → rockpi_66: 91.55 MB in 385.07 s
  nuc_47 → rockpi_67: 91.55 MB in 448.66 s
  nuc_47 → rockpi_69: 91.55 MB in 245.52 s
  nuc_47 → rockpi_7: 91.55 MB in 130.74 s
  nuc_47 → rockpi_71: 91.55 MB in 220.95 s
  nuc_47 → rockpi_72: 137.33 MB in 312.56 s
  nuc_47 → rockpi_73: 91.55 MB in 458.59 s
