FAAS SIMULATION SUMMARY
======================

Report generated: 2025-07-31 17:00:27

Topology Overview:
  Number of nodes: 425
  Number of functions: 7
  Number of images: 2

Node Distribution:
  registry → rockpi_61: 59.13 MB in 0.51 s
  registry → rockpi_62: 59.13 MB in 0.52 s
  registry → rockpi_63: 59.13 MB in 0.51 s
  registry → rockpi_64: 59.13 MB in 0.51 s
  registry → rockpi_65: 59.13 MB in 0.51 s
  registry → rockpi_66: 59.13 MB in 0.51 s
  registry → rockpi_68: 59.13 MB in 0.51 s
  registry → rockpi_69: 59.13 MB in 0.51 s
  registry → rockpi_7: 59.13 MB in 0.51 s
  registry → rockpi_70: 59.13 MB in 0.51 s
  registry → rockpi_71: 59.13 MB in 0.51 s
  registry → rockpi_73: 59.13 MB in 0.51 s
  registry → rockpi_75: 59.13 MB in 0.51 s
  registry → rockpi_76: 59.13 MB in 0.51 s
  registry → rockpi_78: 59.13 MB in 0.51 s
  registry → rockpi_79: 59.13 MB in 0.51 s
  registry → rockpi_8: 59.13 MB in 0.51 s
  registry → rockpi_80: 59.13 MB in 0.51 s
  registry → rockpi_81: 59.13 MB in 0.51 s
  registry → rockpi_82: 59.13 MB in 0.51 s
  registry → rockpi_83: 59.13 MB in 0.51 s
  registry → rockpi_84: 59.13 MB in 0.51 s
  registry → rockpi_85: 59.13 MB in 0.51 s
  registry → rockpi_86: 59.13 MB in 0.51 s
  registry → rockpi_87: 59.13 MB in 0.51 s
  registry → rockpi_91: 59.13 MB in 0.51 s
  registry → rockpi_95: 59.13 MB in 0.51 s
  registry → rockpi_97: 59.13 MB in 0.51 s
  registry → rockpi_98: 59.13 MB in 0.51 s
  registry → rockpi_99: 59.13 MB in 0.51 s
  registry → rpi3_0: 52.45 MB in 0.46 s
  registry → rpi3_1: 52.45 MB in 0.46 s
  registry → rpi3_10: 19.07 MB in 0.17 s
  registry → rpi3_100: 52.45 MB in 0.46 s
  registry → rpi3_101: 52.45 MB in 0.46 s
  registry → rpi3_105: 52.45 MB in 0.46 s
  registry → rpi3_106: 52.45 MB in 0.46 s
  registry → rpi3_107: 52.45 MB in 0.46 s
  registry → rpi3_11: 52.45 MB in 0.46 s
  registry → rpi3_111: 52.45 MB in 0.46 s
  registry → rpi3_112: 52.45 MB in 0.46 s
  registry → rpi3_113: 52.45 MB in 0.46 s
  registry → rpi3_114: 52.45 MB in 0.46 s
  registry → rpi3_115: 52.45 MB in 0.46 s
  registry → rpi3_116: 52.45 MB in 0.46 s
  registry → rpi3_12: 52.45 MB in 0.46 s
  registry → rpi3_120: 52.45 MB in 0.46 s
  registry → rpi3_121: 52.45 MB in 0.46 s
  registry → rpi3_122: 52.45 MB in 0.46 s
  registry → rpi3_123: 52.45 MB in 0.46 s
  registry → rpi3_124: 52.45 MB in 0.46 s
  registry → rpi3_125: 52.45 MB in 0.46 s
  registry → rpi3_126: 52.45 MB in 0.46 s
  registry → rpi3_127: 52.45 MB in 0.46 s
  registry → rpi3_128: 52.45 MB in 0.46 s
  registry → rpi3_129: 52.45 MB in 0.46 s
  registry → rpi3_13: 52.45 MB in 0.46 s
  registry → rpi3_130: 52.45 MB in 0.46 s
  registry → rpi3_131: 52.45 MB in 0.46 s
  registry → rpi3_132: 52.45 MB in 0.46 s
  registry → rpi3_133: 19.07 MB in 0.17 s
  registry → rpi3_134: 52.45 MB in 0.46 s
  registry → rpi3_135: 52.45 MB in 0.46 s
  registry → rpi3_136: 52.45 MB in 0.46 s
  registry → rpi3_137: 52.45 MB in 0.46 s
  registry → rpi3_138: 52.45 MB in 0.46 s
  registry → rpi3_139: 52.45 MB in 0.46 s
  registry → rpi3_14: 52.45 MB in 0.46 s
  registry → rpi3_140: 52.45 MB in 0.46 s
  registry → rpi3_147: 19.07 MB in 0.17 s
  registry → rpi3_148: 52.45 MB in 0.46 s
  registry → rpi3_149: 52.45 MB in 0.46 s
  registry → rpi3_15: 19.07 MB in 0.17 s
  registry → rpi3_156: 52.45 MB in 0.46 s
  registry → rpi3_157: 52.45 MB in 0.46 s
  registry → rpi3_158: 52.45 MB in 0.46 s
  registry → rpi3_159: 52.45 MB in 0.46 s
  registry → rpi3_16: 52.45 MB in 0.46 s
  registry → rpi3_160: 52.45 MB in 0.46 s
  registry → rpi3_161: 52.45 MB in 0.46 s
